Region	Item	Alternative	NatCondA	NatCondB	NatCondC	LearnCondA	LearnCondB	LearnCondC	1a	1b	1c	2a	2b	2c	3a	3b	3c	4a	4b	4c	5a	5b	5c	6a	6b	6c	9a	9b	9c	10a	10b	10c	11a	11b	11c	12a	12b	12c	13a	13b	13c	15a	15b	15c	16a	16b	16c	17a	17b	17c	18a	18b	18c	19a	19b	19c	20a	20b	20c	21a	21b	21c	23a	23b	23c
1	21	121	0.137862172	0.083277568	0.311082251	0.539294381	-0.014956996	0.094071642	-0.216608285		0.117668868	0.498199348		0.349664335	0.131995454		0.465913549					0.083277568		0.490310883		0.190235086		0.11997894		1.050108292		0.949723434	0.847635377		0.39713301	0.204295033				0.064994747		0.167041524		-0.316020805	0.765359869		-0.218945206		0.489912522		0.356447172		-0.160809574	0.304330227			0.668121051		-0.182814452		-0.796435352			0.046764163	
2	21	121	-0.207869528	-0.178576852	-0.225149737	-0.055690504	-0.286870507	-0.550531643	-0.290763903		-0.289246703	-0.092587174		-0.165773085	-0.240257508		-0.220429424					-0.178576852		-0.171473478		-0.258748698		-0.180686494		0.914826452		-0.711582364	-0.184047789		-0.115302802	-0.194817379				-0.134082076		-0.832580277		-0.723723496	-0.361348759		-0.522150151		-0.168778006		0.541535907		-0.393033896	-0.272304128			0.058994912		-1.129180094		-0.432324136			-0.518481823	
3	21	121	-0.095310797	-0.221885343	0.044803987	0.000849064	0.038230498	0.520280882	-0.268482876		-0.035019827	0.110242939		0.028461075	-0.127692455		0.140970713					-0.221885343		-0.068082702		-0.018352392		0.059771862		-0.18939385		0.59606948	-0.19275834		0.15763789	0.131043278				-0.117995415		-0.679446906		2.875108755	0.096454269		0.080012617		0.013523304		0.607433658		-0.160049408	-0.17620906			0.478601228		0.111539229		0.06904156			0.16681118	
4	21	121	0.416979387	0.055379971	-0.024946636	0.025136017	0.073663191	-0.240230193	0.201543665		-0.190224552	0.837290401		-0.048339061	0.212104094		0.163723704					0.055379971		0.277072365		-0.008703436		0.155118454		0.186204206		-0.291358234	0.094901414		-0.131993112	0.118761124				0.031874262		-0.475291957		-0.106178155	0.192228164		-0.355297211		0.234754354		0.306690937		-0.309625286	-0.194987951			-0.279354147		-0.478455915		-0.195929486			0.142498374	
5	21	121	-0.249755893	-0.247290268	-0.667602866	-0.170851094	-0.234853153	-1.029947514	-0.416071414		-0.729194831	-0.065374728		-0.760986663	-0.267821535		-0.512627104					-0.247290268		-0.377870402		-0.718059271		-0.348176664		0.030448414		-0.780666385	-0.370292621		-0.61658824	-0.262765714				-0.118457654		-0.299610219		-1.282902722	0.615614083		-0.990965741		-0.058398148		0.056180054		-1.078810736	-0.679820515			-0.249542925		-1.741639501		-0.846022936			0.196789636	
1	22	122	-0.009767494	-0.017951881	-0.009767494	-0.076702534	-0.12559011	-0.23991188		0.182858517			-0.005227176			-0.231486985		-0.103497044		-0.103497044	0.083962055		0.083962055		0.001030874				-0.296829676					0.022714449			-0.052787973		-0.053690201		-0.00627361		-1.019698906					-0.116066907				0.036894252						0.258306647		-0.23763274			0.100579713		-0.416632354
2	22	122	-0.199145116	-0.241047409	-0.07908452	-0.098894423	-0.279772533	-0.28704358		-0.221140766			-0.197884015			-0.304117444		-0.102049044		-0.289651025	-0.296241187		0.131481985		-0.24200381				-0.18820142					-0.232093162			-0.259362336		-0.217674763		-0.284688399		0.026446178					0.051328368				-0.159463096						-0.812158972		-0.098977417			-0.130253879		-0.388240921
3	22	122	0.039910805	0.316704244	0.198537004	-0.121612761	-0.156544732	0.08087975		0.917371082			0.194383955			-0.161642307		0.23501603		0.10115425	-0.155194421		0.295919757		-0.050251504				-0.039819943					-0.126002658			0.114063303		-0.101300614		0.015486483		-0.294605968					0.096372843				0.10688411						-0.689355676		-0.598291689			0.116768418		0.266972712
4	22	122	-0.207531647	-0.133435652	-0.11853205	-0.496741269	-0.165667872	-0.498094205		0.03297267			-0.096374636			-0.336904991		-0.170940415		-0.317374784	-0.244122879		0.080310683		-0.190710223				-0.508687167					-0.355676517			-0.248046501		-0.285132797		-0.268161495		1.658716511					-0.463735928				-0.527799079						-1.330491423		-1.096943085			-0.141153266		-0.717433953
5	22	122	-0.188452065	-0.116180453	-0.009671503	-0.407217803	-0.395126561	0.36154731		-0.029454231			-0.151090737			-0.167996392		-0.113384708		-0.008303128	-0.263519421		-0.011039878		-0.244297251				-0.114787572					-0.370225312			-0.262770789		-0.368718443		-0.01731358		-0.616248046					-0.427784383				-0.093748575						-0.783469393		-0.845842383			0.013473997		1.216743082
