Participant	List	Ambiguity	PreIncongruent	IncongruentAmbiguous	Completed	Trial	Region	LengthofRegion	RT	Subject1	Group1	Level1	EITLevel1	EITScore1	Block1	PresentationOrder	FlankerCorrect	FlankerRT	ComprehensionCheckCorrect	TrimmingHigh	Trimming	NoZeroRTs	Sdev	mean	Max	Outliers	OutliersRemoved	OutliersRemoved	ComprehensionQuestionCalculator	SumCorrectby5	TotalAnswered	PercentCorrect	Length(x-axis)	RT(pre-lineoffit)	ResSlope	ResIntercept	ResExpected	Residual	JegerskiMcCormickStep1	JegerskiMcCormickStep2	JegerskiMcCormickStep3		
1	1	1	0	0	1	9	1	13	1.688332081	1	1	4	5	120	0	59	1	1.555193901	1	 	 	1.688332081	0.477062541	0.911577983	2.104234335	 	1.688332081	1.688332081	1	135	150	0.9	13	1.688332081	0.065635776	0.263141919	1.116407012	0.571925069	9	9	1	17	
1	1	1	0	0	1	9	2	4	0.451112986	1	1	4	5	120	0	59	1	1.555193901	1	 	 	0.451112986	0.477062541	0.911577983	2.104234335	 	0.451112986	0.451112986	1	135	150	0.9	4	0.451112986	0.065635776	0.263141919	0.525685025	-0.074572039	9	9	1	17	
1	1	1	0	0	1	9	3	9	0.933712006	1	1	4	5	120	0	59	1	1.555193901	1	 	 	0.933712006	0.477062541	0.911577983	2.104234335	 	0.933712006	0.933712006	1	135	150	0.9	9	0.933712006	0.065635776	0.263141919	0.853863907	0.079848099	9	9	1	17	
1	1	1	0	0	1	9	4	8	0.919184923	1	1	4	5	120	0	59	1	1.555193901	1	 	 	0.919184923	0.477062541	0.911577983	2.104234335	 	0.919184923	0.919184923	1	135	150	0.9	8	0.919184923	0.065635776	0.263141919	0.78822813	0.130956793	9	9	1	17	
1	1	1	0	0	1	9	5	10	1.021475077	1	1	4	5	120	0	59	1	1.555193901	1	 	 	1.021475077	0.477062541	0.911577983	2.104234335	 	1.021475077	1.021475077	1	135	150	0.9	10	1.021475077	0.065635776	0.263141919	0.919499683	0.101975394	9	9	1	17	
1	1	1	1	1	1	10	1	19	1.322095871	1	1	4	5	120	0	15	1	1.10424614	0	 	 	1.322095871	0.477062541	0.911577983	2.104234335	 	1.322095871	1.322095871	0	135	150	0.9	19	1.322095871	0.065635776	0.263141919	1.510221671	-0.1881258	10	10	1	17	
1	1	1	1	1	1	10	2	10	0.500714064	1	1	4	5	120	0	15	1	1.10424614	0	 	 	0.500714064	0.477062541	0.911577983	2.104234335	 	0.500714064	0.500714064	0	135	150	0.9	10	0.500714064	0.065635776	0.263141919	0.919499683	-0.418785619	10	10	1	17	
1	1	1	1	1	1	10	3	8	1.053390026	1	1	4	5	120	0	15	1	1.10424614	0	 	 	1.053390026	0.477062541	0.911577983	2.104234335	 	1.053390026	1.053390026	0	135	150	0.9	8	1.053390026	0.065635776	0.263141919	0.78822813	0.265161896	10	10	1	17	
1	1	1	1	1	1	10	4	5	0.534294128	1	1	4	5	120	0	15	1	1.10424614	0	 	 	0.534294128	0.477062541	0.911577983	2.104234335	 	0.534294128	0.534294128	0	135	150	0.9	5	0.534294128	0.065635776	0.263141919	0.591320801	-0.057026673	10	10	1	17	
1	1	1	1	1	1	10	5	13	1.703592777	1	1	4	5	120	0	15	1	1.10424614	0	 	 	1.703592777	0.477062541	0.911577983	2.104234335	 	1.703592777	1.703592777	0	135	150	0.9	13	1.703592777	0.065635776	0.263141919	1.116407012	0.587185765	10	10	1	17	
1	1	1	1	1	1	21	1	12	0.834162951	1	1	4	5	120	1	16	1	0.656785965	1	 	 	0.834162951	0.477062541	0.911577983	2.104234335	 	0.834162951	0.834162951	1	135	150	0.9	12	0.834162951	0.065635776	0.263141919	1.050771236	-0.216608285	21	1	1	17	
1	1	1	1	1	1	21	2	5	0.300556898	1	1	4	5	120	1	16	1	0.656785965	1	 	 	0.300556898	0.477062541	0.911577983	2.104234335	 	0.300556898	0.300556898	1	135	150	0.9	5	0.300556898	0.065635776	0.263141919	0.591320801	-0.290763903	21	1	1	17	
