579.9975 	EXP 	vocabPicAssoc: text = u'renunciar'
579.9975 	EXP 	TranslationTraining: text = u'to quit'
579.9975 	EXP 	image: image = u'renunciar'
579.9975 	EXP 	vocabPicAssoc: autoDraw = True
579.9975 	EXP 	TranslationTraining: autoDraw = True
579.9975 	EXP 	image: autoDraw = True
580.5515 	DATA 	Keypress: right
580.8694 	DATA 	Keypress: space
580.8714 	EXP 	New trial (rep=0, index=5): OrderedDict([(u'MatchingSection', u'algo sucio?'), (u'ColumnA', u'fregadero'), (u'ColumnF', u'biblia'), (u'ColumnJ', u'saltarlacuerda'), (u'ColumnSemicolon', u'sucio'), (u'Translation', u'dirty'), (u'CorrectAnswer', u'semicolon'), (u'Training', None), (u'TrainingFull', u'sucio'), (u'imagename', u'sucio'), (u'Counterbalance', 1)])
580.8868 	WARNING 	Requested image u'sucio' not found but similar filename u'sucio.jpg' exists. This will be used instead but changing the filename is advised.
580.9498 	EXP 	vocabPicAssoc: autoDraw = False
580.9498 	EXP 	TranslationTraining: autoDraw = False
580.9498 	EXP 	image: autoDraw = False
580.9498 	EXP 	pressSpace: autoDraw = False
580.9498 	EXP 	vocabPicAssoc: text = u'sucio'
580.9498 	EXP 	TranslationTraining: text = u'dirty'
580.9498 	EXP 	image: image = u'sucio'
580.9498 	EXP 	vocabPicAssoc: autoDraw = True
580.9498 	EXP 	TranslationTraining: autoDraw = True
580.9498 	EXP 	image: autoDraw = True
581.0388 	DATA 	Keypress: space
581.0505 	EXP 	New trial (rep=0, index=6): OrderedDict([(u'MatchingSection', u'la escalera?'), (u'ColumnA', u'escalera'), (u'ColumnF', u'cuaderno'), (u'ColumnJ', u'renunciar'), (u'ColumnSemicolon', u'planos'), (u'Translation', u'staircase'), (u'CorrectAnswer', u'a'), (u'Training', None), (u'TrainingFull', u'la escalera'), (u'imagename', u'escalera'), (u'Counterbalance', 1)])
581.0712 	WARNING 	Requested image u'escalera' not found but similar filename u'escalera.jpg' exists. This will be used instead but changing the filename is advised.
581.1152 	EXP 	vocabPicAssoc: autoDraw = False
581.1152 	EXP 	TranslationTraining: autoDraw = False
581.1152 	EXP 	image: autoDraw = False
581.1152 	EXP 	pressSpace: autoDraw = False
581.1152 	EXP 	vocabPicAssoc: text = u'la escalera'
581.1152 	EXP 	TranslationTraining: text = u'staircase'
581.1152 	EXP 	image: image = u'escalera'
581.1152 	EXP 	vocabPicAssoc: autoDraw = True
581.1152 	EXP 	TranslationTraining: autoDraw = True
581.1152 	EXP 	image: autoDraw = True
581.2382 	DATA 	Keypress: space
581.2515 	EXP 	New trial (rep=0, index=7): OrderedDict([(u'MatchingSection', u'saltar la cuerda?'), (u'ColumnA', u'renunciar'), (u'ColumnF', u'saltarlacuerda'), (u'ColumnJ', u'marat\xf3n'), (u'ColumnSemicolon', u'cuaderno'), (u'Translation', u'to jump rope'), (u'CorrectAnswer', u'f'), (u'Training', None), (u'TrainingFull', u'saltar la cuerda'), (u'imagename', u'saltarlacuerda'), (u'Counterbalance', 1)])
581.2775 	WARNING 	Requested image u'saltarlacuerda' not found but similar filename u'saltarlacuerda.jpg' exists. This will be used instead but changing the filename is advised.
581.3336 	EXP 	vocabPicAssoc: autoDraw = False
581.3336 	EXP 	TranslationTraining: autoDraw = False
581.3336 	EXP 	image: autoDraw = False
581.3336 	EXP 	pressSpace: autoDraw = False
581.3336 	EXP 	vocabPicAssoc: text = u'saltar la cuerda'
581.3336 	EXP 	TranslationTraining: text = u'to jump rope'
581.3336 	EXP 	image: image = u'saltarlacuerda'
581.3336 	EXP 	vocabPicAssoc: autoDraw = True
581.3336 	EXP 	TranslationTraining: autoDraw = True
581.3336 	EXP 	image: autoDraw = True
581.4209 	DATA 	Keypress: space
